SECTOR,OCCURRENCES
Car,174
Beer,56
Soft Drink,52
Clothing,47
Department Store,33
Finance,32
Tech(audio),32
Sport,28
Snack(sweet),24
Fast Food,24
Phone Company,24
/,22
Tech,21
Tech(phone),18
Med/Pharmacy,16
Insurance,16
Snack(salt),13
Telecommunications,13
Perfume,12
Online Service,12
Booze,11
Restaurant,9
Tech(software),8
Tourism,7
Supermarket,7
Airline,6
Tech(computer),6
House(cleaning),6
Tourism(cruise),6
Tea,6
Food(cereal),6
Body Care(cosmetics),5
Tech(tablet),5
Postal Service,5
Gas,5
House,5
Tech(smartwatch),5
Water,5
Retail,5
Non-profit,5
Clothing(jewels),4
Tech(camera),4
Tech(console),4
Body Care,4
Insurance(health),3
Food(coffee),3
Retail(office),3
TV Channel,3
Tech(TV),3
Food(sauces),3
Tourism(hotel),3
Clothing(diapers),3
Body Care(hair),3
Retail(electronics),3
Body Care(razor),2
Body Care(deodorant),2
TV Channel(sport),2
Food(cookies),2
Food(yogurt),2
Food(cereals),1
Food(cheese),1
Food(pizza),1
Clothing(lingerie),1
Food(soup),1
Food(dressing),1
Body Care(makeup),1
Body Care(toothpaste),1
Body Care(mouthwash),1
Food(milk),1
Tech(office),1
Tech(sport),1
Food(fish),1
Food(sausage),1
TV Channel(music),1
Tech(app),1
Food(tex-mex),1
Food,1
Tech(appliance),1
Clothing(collant),1
Clothing(underwear),1
Retail(house),1
